Product_Name,Supermarket_Category
Sahneschokolade,Kühlregal (Molkerei)
Milchschokolade,Kühlregal (Molkerei)
Schokolade weiß,Süßwaren & Snacks
Schokolade,Süßwaren & Snacks
Vollmilchschokolade,Kühlregal (Molkerei)
Kakaopulver stark entölt,Gewürze & Backzutaten
Bitterschokolade,Süßwaren & Snacks
Hecht,Fisch & Wurstwaren
Kaviar echt,Fisch & Wurstwaren
Heringsrogen,Fisch & Wurstwaren
Lachsrogen,Fisch & Wurstwaren
Thunfisch,Fisch & Wurstwaren
Schellfisch,Fisch & Wurstwaren
Stockfisch,Fisch & Wurstwaren
Merlan Wittling,Fisch & Wurstwaren
Seehecht,Fisch & Wurstwaren
Leng,Fisch & Wurstwaren
Alaska-Pollack Alaska-Seelachs,Fisch & Wurstwaren
Dornhai,Fisch & Wurstwaren
Königslachs,Fisch & Wurstwaren
Matjeshering mild,Gewürze & Backzutaten
Rind Hinterhesse,Fleischtheke
Rind Bug Schulter,Fleischtheke
Rind Muskelfleisch,Fleischtheke
Rind Hüfte,Fleischtheke
Kalb Keule,Fleischtheke
Rind Oberschale,Fleischtheke
Schwein Filetmedaillon,Fleischtheke
Schaf Filetsteak,Fleischtheke
Schaf Filetmedaillon,Fleischtheke
Schwein Fleisch,Fleischtheke
Schwein Stielkotelett,Fleischtheke
Schwein Lachsbraten,Fisch & Wurstwaren
Kasseler,Fleischtheke
Schwein Schmetterlingssteak,Fleischtheke
Schwein Kammbraten,Fleischtheke
Schwein Kammsteak,Fleischtheke
Wildschwein Fleisch,Fleischtheke
Schwein Ladenbauch,Fleischtheke
Schwein Kochfleisch,Fleischtheke
Schwein Grillbauch,Fleischtheke
Schwein Dicke Rippe,Fleischtheke
Schwein Bratenfleisch,Fleischtheke
Schwein Gulasch,Fleischtheke
Parmaschinken,Fisch & Wurstwaren
Schwarzwälder Schinken,Fisch & Wurstwaren
Schwein Schnitzel,Fleischtheke
Schwein Muskelfleisch,Fleischtheke
Schwein Schwartenbraten,Fleischtheke
Schwein Roulade,Fleischtheke
Schaf Muskelfleisch,Fleischtheke
Hammel Kotelett,Fleischtheke
Lamm Kotelett,Fleischtheke
Lamm Nuss,Fleischtheke
Hammel Filet Lende,Fleischtheke
Schaf Filet Lende,Fleischtheke
Suppenhuhn Fleisch,Fleischtheke
Hähnchen Brustfilet,Fleischtheke
Hähnchen Flügel,Fleischtheke
Wildente Fleisch,Fleischtheke
Poularde Fleisch,Fleischtheke
Hähnchen Fleisch,Fleischtheke
Pute Fleisch,Fleischtheke
Rebhuhn Fleisch,Fleischtheke
Salami,Fisch & Wurstwaren
Geflügelmortadella,Fleischtheke
Cocktailwürstchen,Trockensortiment & Konserven
Geflügel-Wiener Würstchen,Fleischtheke
Lyoner weiß,Fleischtheke
Lyoner grob,Fleischtheke
Fleischwurst,Fisch & Wurstwaren
Gelbwurst,Fisch & Wurstwaren
Schwein Kochschinken,Fisch & Wurstwaren
Weizen Vollkornschrot,Backwaren
Weizen Flocken,Backwaren
Hartweizen Vollkorngrieß,Backwaren
Hartweizen ganzes Korn,Backwaren
Bulgur,Backwaren
Couscous,Backwaren
Weizen Grütze,Backwaren
Roggen ganzes Korn,Backwaren
Dinkel Flocken,Backwaren
Reis Kleie,Trockensortiment & Konserven
Emmer ganzes Korn,Backwaren
Emmer Flocken,Backwaren
Einkorn Flocken,Backwaren
Einkorn ganzes Korn,Backwaren
Grünkern Vollkornmehl,Gewürze & Backzutaten
Grünkern Vollkornschrot,Backwaren
Grünkern Grütze,Backwaren
Buchweizen Grieß,Backwaren
Braunhirse Mehl,Gewürze & Backzutaten
Entenei,Kühlregal (Molkerei)
Apfelsaft angereichert,Obst & Gemüse
Traubensaft,Obst & Gemüse
Ananassaft,Obst & Gemüse
Zwetschge,Obst & Gemüse
Süßkirsche,Obst & Gemüse
Weintraube,Obst & Gemüse
Reineclaude,Obst & Gemüse
Mirabelle,Obst & Gemüse
Stachelbeere,Obst & Gemüse
Zitrone,Obst & Gemüse
Pampelmuse Pomelo,Obst & Gemüse
Clementine,Obst & Gemüse
Grapefruit,Obst & Gemüse
Lulo Naranjilla,Obst & Gemüse
Korinthe,Obst & Gemüse
Zuckerhutsalat,Obst & Gemüse
Gemüsefenchel,Obst & Gemüse
Pak Choi,Obst & Gemüse
Rettich,Obst & Gemüse
Radieschen,Obst & Gemüse
Gemüseartischocke Kardone,Obst & Gemüse
Bärlauch,Obst & Gemüse
Kapern gesäuert,Trockensortiment & Konserven
Ingwer Ingwerwurzel,Gewürze & Backzutaten
Wasabi,Obst & Gemüse
Lupinenmehl,Gewürze & Backzutaten
Erbsenmehl,Gewürze & Backzutaten
Kichererbsenmehl,Gewürze & Backzutaten
Pekannuss geröstet,Backwaren
Macadamianuss,Backwaren
Mandel bitter,Backwaren
Linse rot reif,Backwaren
Butterpilz,Obst & Gemüse
Birkenpilz,Obst & Gemüse
Rotkappe,Obst & Gemüse
H-Milch entrahmt,Kühlregal (Molkerei)
Sahnekefir,Kühlregal (Molkerei)
Kefir fettarm,Kühlregal (Molkerei)
Sahnedickmilch Sahnesauermilch,Kühlregal (Molkerei)
Sauerrahm Saure Sahne,Kühlregal (Molkerei)
Sauermolke,Kühlregal (Molkerei)
Sauerrahm Schmand,Kühlregal (Molkerei)
Appenzeller,Kühlregal (Molkerei)
Greyerzer,Kühlregal (Molkerei)
Parmesan,Kühlregal (Molkerei)
Gouda,Kühlregal (Molkerei)
Havarti,Kühlregal (Molkerei)
Bel Paese,Kühlregal (Molkerei)
Steppenkäse,Kühlregal (Molkerei)
Speisequark Fettstufe,Kühlregal (Molkerei)
Kochkäse,Kühlregal (Molkerei)
Frischkäsezubereitung < .,Kühlregal (Molkerei)
Orangenlimonade,Getränke Alkoholfrei
Colagetränk koffeinhaltig,Getränke Alkoholfrei
Brause,Getränke Alkoholfrei
Limonade,Getränke Alkoholfrei
Früchtetee,Getränke Alkoholfrei
Pfefferminztee,Gewürze & Backzutaten
Export dunkel,Bier & Wein
Rotling trocken,Bier & Wein
Wermutwein süß,Bier & Wein
Madeirawein,Bier & Wein
Fruchtsaftlikör,Bier & Wein
Sherry dry,Bier & Wein
Sherry cream,Bier & Wein
Traubenkernöl,Gewürze & Backzutaten
Distelöl Safloröl,Gewürze & Backzutaten
Leinöl,Gewürze & Backzutaten
Hanföl,Gewürze & Backzutaten
Sesamöl,Gewürze & Backzutaten
Weizenkeimöl,Gewürze & Backzutaten
Mohnöl,Gewürze & Backzutaten
Bratöl Frittieröl,Gewürze & Backzutaten
Palmfett Palmöl,Gewürze & Backzutaten
Palmfett gehärtet,Gewürze & Backzutaten
Kakaobutter,Gewürze & Backzutaten
Sheabutter,Gewürze & Backzutaten
Kokosfett gehärtet,Gewürze & Backzutaten
Kokosöl desodoriert,Gewürze & Backzutaten
Entenfett,Gewürze & Backzutaten
Gänsefett Gänseschmalz,Gewürze & Backzutaten
Branntweinessig,Gewürze & Backzutaten
Balsamicoessig,Gewürze & Backzutaten
Tomatenmark,Gewürze & Backzutaten
Zitronat Sukkade,Gewürze & Backzutaten
Ahornsirup,Süßwaren & Snacks
Fondantkonfekt,Süßwaren & Snacks
Fondantcreme,Süßwaren & Snacks
Trinkschokoladenpulver,Süßwaren & Snacks
Getränkepulver kakaohaltig,Süßwaren & Snacks
Schokoladen-Dekor,Süßwaren & Snacks
Pralinen,Süßwaren & Snacks
Sahnepralinen,Kühlregal (Molkerei)
Zartbitter- Halbbitterschokolade,Süßwaren & Snacks
Toffee Sahnetoffee,Kühlregal (Molkerei)
Gelbflossen-Thun,Fisch & Wurstwaren
Weißer Thun,Fisch & Wurstwaren
Pelamide,Fisch & Wurstwaren
Brosme Lumb,Fisch & Wurstwaren
Buckellachs,Fisch & Wurstwaren
Wildlachs,Fisch & Wurstwaren
Forelle Regenbogenforellen-Filet,Fisch & Wurstwaren
Meerforelle,Fisch & Wurstwaren
Rentier Fleisch,Fleischtheke
Rind Fleisch,Fleischtheke
Kalb Bug Schulter,Fleischtheke
Rind Gulasch,Fleischtheke
Rind Bratenfleisch,Fleischtheke
Rind Kochfleisch,Fleischtheke
Rind Vorderhesse,Fleischtheke
Rind Filet Lende,Fleischtheke
Rind Roulade,Fleischtheke
Rind Bindegewebe,Fleischtheke
Rind Ochsenschwanz,Fleischtheke
Kalb Unterschale Schwanzstück,Fleischtheke
Kalb Roulade,Fleischtheke
Kalb Schnitzel,Fleischtheke
Kalb Kugel Nuss,Fleischtheke
Schaf Kotelett,Fleischtheke
Hammel Muskelfleisch,Fleischtheke
Lamm Muskelfleisch,Fleischtheke
Ente Fleisch,Fleischtheke
Wildente Schenkel,Fleischtheke
Hähnchen Brust,Fleischtheke
Pute Brust,Fleischtheke
Pute Flügel,Fleischtheke
Hähnchen Oberschenkel,Fleischtheke
Hähnchen Unterschenkel,Fleischtheke
Suppenhuhn Schenkel,Fleischtheke
Perlhuhn Fleisch,Fleischtheke
Gans Fleisch,Fleischtheke
Baby-Pute Fleisch,Fleischtheke
Pute Keule,Fleischtheke
Taube Fleisch,Fleischtheke
Roggen Flocken,Backwaren
Roggen Vollkornschrot,Backwaren
Weintraube rot,Obst & Gemüse
Dattel,Obst & Gemüse
Weintraube weiß,Obst & Gemüse
Traubensaft angereichert,Obst & Gemüse
Limette,Obst & Gemüse
Kumquat,Obst & Gemüse
Tangerine,Obst & Gemüse
Satsuma,Obst & Gemüse
Mandelmus,Backwaren
Mascarpone,Kühlregal (Molkerei)
Ricotta,Kühlregal (Molkerei)
Colagetränk koffeinfrei,Getränke Alkoholfrei
Kaffeelikör Kakaolikör,Bier & Wein
Bitterlikör Kräuterlikör Gewürzlikör,Bier & Wein
Sonnenblumenmargarine Vollfett,Gewürze & Backzutaten
Pflanzenmargarine Dreiviertelfett,Gewürze & Backzutaten
Pflanzliches Streichfett,Gewürze & Backzutaten
Rapsölmargarine Vollfett,Gewürze & Backzutaten
Pflanzenmargarine Vollfett,Gewürze & Backzutaten
Pflanzenmargarine Halbfett,Gewürze & Backzutaten
Ziehmargarine,Gewürze & Backzutaten
Backmargarine,Gewürze & Backzutaten
Palmkernfett Palmkernöl,Gewürze & Backzutaten
Weichkaramelle,Süßwaren & Snacks
Zartbitter- Halbbitter-Kuvertüre,Süßwaren & Snacks
Schildmakrele Stöcker,Fisch & Wurstwaren
Grenadier,Fisch & Wurstwaren
Bachsaibling,Fisch & Wurstwaren
Rind Filetsteak,Fleischtheke
Kalb Filetsteak,Fleischtheke
Rind Tatar Schabefleisch,Fleischtheke
Kalb Filet Lende,Fleischtheke
Rind Roastbeef,Fleischtheke
Kalb Gulasch,Fleischtheke
Kalb Bratenfleisch,Fleischtheke
Hirsch Fleisch,Fleischtheke
Fasan Fleisch,Fleischtheke
Putenbrust,Fleischtheke
Ente Schenkel,Fleischtheke
Gans Schenkel,Fleischtheke
Mandellikör,Bier & Wein
Schwertfisch,Fisch & Wurstwaren
Rind Hochrippe,Fleischtheke
Rind Steak,Fleischtheke
Rind Rostbraten,Fleischtheke
Rind Kotelett,Fleischtheke
Kalb Rücken,Fleischtheke
Hirsch Rücken,Fleischtheke
Pferd Fleisch,Fleischtheke
Reh Keule,Fleischtheke
Reh Rücken,Fleischtheke
Wachtel Fleisch,Fleischtheke
Rind Brustkern Mittelbrust,Fleischtheke
Kalb Muskelfleisch,Fleischtheke
Kalb Steak,Fleischtheke
Kalb Kotelett,Fleischtheke
Kalb Kochfleisch,Fleischtheke
Kalb Brust,Fleischtheke
Kalb Fleisch,Fleischtheke
Buchweizen-Wasserbiskuitboden,Backwaren
Käsealternative,Kühlregal (Vegan & Käse)
Speiseeis Vanille,Tiefkühlware
Brownies,Backwaren
Mehrkornknusperbrot angereichert,Backwaren
Vollkornbrot,Backwaren
Dinkelvollkornknäckebrot,Backwaren
Knuspermüslimischung,Süßwaren & Snacks
Rhabarber-Streuselkuchen,Gewürze & Backzutaten
Weizenmischbrötchen,Backwaren
Roggenvollkornknäckebrot,Backwaren
Rind Pökelfleisch,Fleischtheke
Mehrkornvollkornknäckebrot,Backwaren
Thüringer Obstkuchen,Gewürze & Backzutaten
Sauerteigbrot,Backwaren
Kokoskuchen,Backwaren
Roggenbrötchen,Backwaren
Käse-Schinken-Hörnchen,Kühlregal (Molkerei)
Vanillefondant,Süßwaren & Snacks
Apfelkuchen,Backwaren
Anisplätzchen,Backwaren
Zwetschgen-Streuselkuchen,Gewürze & Backzutaten
Apfelstrudel,Backwaren
Springerle,Backwaren
Mandelbiskuitboden,Backwaren
Schwein Bauch Rohpökelware,Fleischtheke
Braune Lebkuchen unglasiert,Backwaren
Schokoladen-Haselnuss-Cookies,Backwaren
Banane getrocknet,Obst & Gemüse
Eiweißbrot Proteinbrot,Backwaren
Getreideflakes gesüßt,Backwaren
Himbeersaft,Obst & Gemüse
Schwein Schnitzel gegrillt,Fleischtheke
Nussbiskuitboden,Backwaren
Pfeffernüsse,Gewürze & Backzutaten
Weizenvollkornknäckebrot,Backwaren
Kathrinchen,Backwaren
Fleischersatz glutenhaltig,Kühlregal (Vegan & Käse)
Mehrkornbrötchen,Backwaren
Brötchen glutenfrei,Backwaren
Möhren-Nuss-Kuchen,Backwaren
Ottilienkuchen,Backwaren
Eiweißbrötchen Proteinbrötchen,Backwaren
Weizenvollkornbrot,Backwaren
Napfkuchen,Backwaren
Haferbrötchen,Backwaren
Zwetschgenkuchen,Kühlregal (Molkerei)
Wiener Tortenboden kakaohaltig,Backwaren
Schwein Kotelett Kochpökelware,Fleischtheke
Mandelkuchen,Gewürze & Backzutaten
Käsewaffeln salzig,Kühlregal (Molkerei)
Speisequarkzubereitung,Kühlregal (Molkerei)
Haselnusszopf,Backwaren
Semmelknödel getrocknet,Trockensortiment & Konserven
Schokobiskuitrolle Schokobiskuitroulade,Backwaren
Roggenbrot,Backwaren
Weizenvollkornbrötchen,Backwaren
Mandelboden,Backwaren
Kokosmilch Kokosnussmilch,Kühlregal (Molkerei)
Honigkuchen,Backwaren
Buttergebäck kakaohaltig,Backwaren
Getreidechips umhüllt,Kühlregal (Molkerei)
Ingwer kandiert,Süßwaren & Snacks
Sahnelikör,Kühlregal (Molkerei)
Vollkornhefeteig süß,Gewürze & Backzutaten
Kokos-Praline,Süßwaren & Snacks
Birnenkraut,Süßwaren & Snacks
Mandelgebäck,Backwaren
Bratensoße,Gewürze & Backzutaten
Fleischsalat-Grundmasse,Fleischtheke
Sacherguss Schokoladenglasur,Gewürze & Backzutaten
Graved Lachs,Fisch & Wurstwaren
Cocktail,Bier & Wein
Apfeltaschen,Gewürze & Backzutaten
Fruchtmischung,Obst & Gemüse
Brombeersaft,Obst & Gemüse
Weizenmischbrot,Backwaren
Französische Schokoladentorte,Backwaren
Früchtekuchen,Backwaren
Blätterteig eifrei,Backwaren
Dinkelvollkornbrötchen,Backwaren
Meeresfrüchtemischung,Fisch & Wurstwaren
Fleischkäse fettreduziert,Kühlregal (Molkerei)
Müslimischung Bircher Art,Süßwaren & Snacks
Currybratwurst,Fisch & Wurstwaren
Dinkelbrot,Backwaren
Raspeli,Backwaren
Englischer Kuchen,Backwaren
Suppengrün Suppenkraut,Obst & Gemüse
Dinkeleierteigwaren,Trockensortiment & Konserven
Aprikosensaft,Obst & Gemüse
Johannisbeertorte,Backwaren
Schokoladenbaiser,Backwaren
Makronenkuchen,Backwaren
Hamburger Rauchfleisch Rohpökelware,Fleischtheke
Kekse Plätzchen,Backwaren
Quicheboden,Backwaren
Gemüsemischung asiatische Art,Obst & Gemüse
Vollkornbrot glutenfrei,Backwaren
Rehrücken gebacken,Backwaren
Geflügelbockwurst,Fisch & Wurstwaren
Croissant,Gewürze & Backzutaten
Rotweinkuchen,Backwaren
Zimtschnecken,Gewürze & Backzutaten
Gemüsemischung Leipziger Allerlei,Tiefkühlware
Frankfurter Würstchen Schinkenwürstchen,Fisch & Wurstwaren
Stachelbeerkuchen,Backwaren
Maracujanektar Passionsfruchtnektar,Obst & Gemüse
Friesenkekse,Backwaren
Quarkstollen,Kühlregal (Molkerei)
Kiwisaft,Obst & Gemüse
Schneckennudeln Rosenkuchen,Trockensortiment & Konserven
Hefeteig gebacken,Gewürze & Backzutaten
Bitterschokolade gefüllt,Süßwaren & Snacks
Bauernbratwurst Westfälinger,Fisch & Wurstwaren
Gänsezervelatwurst,Fisch & Wurstwaren
Gugelhupf,Gewürze & Backzutaten
Salami Ungarische Art,Fisch & Wurstwaren
Katenrauchwurst,Fisch & Wurstwaren
Nuss-Spritzgebäck,Backwaren
Streuselkuchen,Gewürze & Backzutaten
Weichkaramelle gefüllt,Süßwaren & Snacks
Glühwein,Bier & Wein
Lammfleisch-Zervelatwurst,Fisch & Wurstwaren
Weizenfladenbrot,Backwaren
Knoblauch gebacken,Obst & Gemüse
Makrele gegrillt,Fisch & Wurstwaren
Englische Muffins Toasties,Backwaren
Teewurst fettreduziert,Fisch & Wurstwaren
Vollkornbrötchen,Backwaren
Heidesand,Backwaren
Mischpilze,Obst & Gemüse
Schokozwieback,Backwaren
Laugengebäck,Gewürze & Backzutaten
Geflügelfleischkäse,Kühlregal (Molkerei)
Käsewindbeutel salzig ungefüllt,Kühlregal (Molkerei)
Heidelbeer-Muffins,Backwaren
Konfitüre extra,Süßwaren & Snacks
Kaffeeeis,Tiefkühlware
Eiswaffeln Waffelhörnchen,Backwaren
Apfel-Streuselkuchen,Backwaren
Rosinenbrötchen,Backwaren
Orangennektar,Obst & Gemüse
Böhmische Knödel,Trockensortiment & Konserven
Studentenfutter,Backwaren
Roggenvollkornbrötchen,Backwaren
Buttergebäck,Backwaren
Apfelkraut,Süßwaren & Snacks
Reiswaffeln schokoliert,Trockensortiment & Konserven
Pflanzenfett Frittierfett,Gewürze & Backzutaten
Vollmilchschokolade gefüllt,Kühlregal (Molkerei)
Kokosflocken,Süßwaren & Snacks
Kuchenboden Tortenboden,Backwaren
Apfelkuchen gedeckt,Backwaren
Salatcreme,Gewürze & Backzutaten
Tangerinensaft,Obst & Gemüse
Göttinger Schinkenwurst,Fisch & Wurstwaren
Cookies,Backwaren
Kolbacz,Fleischtheke
Schmierwurst fettreich,Fisch & Wurstwaren
Vollkornplunderteig,Backwaren
Getränkepulver malzhaltig,Süßwaren & Snacks
Schokoladen-Mandel-Cookies vegan,Kühlregal (Vegan & Käse)
Schokoladentorte,Backwaren
Pampelmusensaft Pomelosaft,Obst & Gemüse
Wasserbiskuitboden,Backwaren
Weizenbaguettebrötchen,Backwaren
Joghurteis,Tiefkühlware
Milchbrötchen,Backwaren
Croissant gefüllt,Gewürze & Backzutaten
Sirupkuchen,Backwaren
Honigkuchenhäufchen,Backwaren
Kaviarcreme Kaviarpaste,Fisch & Wurstwaren
Karamellbonbon zuckerfrei,Süßwaren & Snacks
Weinbrand-Bohnen,Süßwaren & Snacks
Sprühsahne Schlagsahne,Kühlregal (Molkerei)
Fruchtsoße,Trockensortiment & Konserven
Kirsche kandiert,Süßwaren & Snacks
Knäckebrot glutenfrei,Backwaren
Schokokekse glutenfrei,Backwaren
Sandmasse Sandteig,Backwaren
Haferflockenplätzchen,Süßwaren & Snacks
Zitronenkekse glutenfrei,Backwaren
Rehrücken,Backwaren
Weizentoastbrot,Backwaren
Steinpilz getrocknet,Obst & Gemüse
Toastbrot glutenfrei,Backwaren
Polenta,Gewürze & Backzutaten
Sauerteigbrot glutenfrei,Backwaren
Dinkelbrötchen,Backwaren
Kürbis-Mandel-Kuchen,Backwaren
Cappuccino,Kaffee & Tee
Grapefruitsaftschorle,Getränke Alkoholfrei
Kirschtorte,Backwaren
Knollensellerie gebacken,Obst & Gemüse
Eier-Frischteigwaren,Trockensortiment & Konserven
Maiskekse glutenfrei,Backwaren
Rote Grütze,Trockensortiment & Konserven
Lammfleisch-Salami,Fisch & Wurstwaren
Mehrkorntoastbrot,Backwaren
Kokosschnitten,Backwaren
Stollen,Gewürze & Backzutaten
Gemüsesaft,Obst & Gemüse
Schwarz-Weiß-Gebäck,Backwaren
Fruchtgummi zuckerfrei,Süßwaren & Snacks
Weißwein-Schorle,Bier & Wein
Schinkenwurst Krakauer Art,Fisch & Wurstwaren
Hirsebrot glutenfrei,Backwaren
Marmelade,Süßwaren & Snacks
Butterkuchen Zuckerkuchen,Gewürze & Backzutaten
Feiner Honigkuchen,Backwaren
Mettwurst luftgetrocknet,Fisch & Wurstwaren
Trockenfrüchte,Kühlregal (Molkerei)
Russisch-Brot,Backwaren
Tintenfisch gegrillt,Fisch & Wurstwaren
Waffelkekse,Backwaren
Ostpreußischer Honigkuchen,Backwaren
Romanesco gebacken,Obst & Gemüse
Dinkelknusperbrot,Backwaren
Marmorkuchen,Backwaren
Johannisbeersaft schwarz,Obst & Gemüse
Nonpareille,Süßwaren & Snacks
Kalb Schnitzel gegrillt,Fleischtheke
Schokoladenfondant,Süßwaren & Snacks
Schinkenhörnchen,Kühlregal (Molkerei)
Schinkenwurst,Fisch & Wurstwaren
Eiserkuchen,Backwaren
Schinkentorte,Fisch & Wurstwaren
Milchmischgetränk,Kühlregal (Molkerei)
Nusskuchen,Backwaren
Nusskranz,Kühlregal (Molkerei)
Schokobrötchen,Backwaren
Colabier,Bier & Wein
Basler Leckerli,Backwaren
Mehrkornbrot,Backwaren
Fruchtsaftgetränk Apfel,Getränke Alkoholfrei
Butterzwieback,Backwaren
Braunschweiger Mettwurst,Fisch & Wurstwaren
Rheinische Bratwurst,Fisch & Wurstwaren
Quarktaschen,Kühlregal (Molkerei)
Vollkorncroissant,Backwaren
Rind Hackfleisch,Fleischtheke
Spargel gebacken,Obst & Gemüse
Erdbeerbowle,Bier & Wein
Rosinen-Mandel-Schnecken,Gewürze & Backzutaten
Buchteln,Gewürze & Backzutaten
Mandelhörnchen,Backwaren
Fleischersatz gluten,Kühlregal (Vegan & Käse)
Nährzwieback,Backwaren
Schokoladenbrezeln,Backwaren
Dinkelzwieback,Backwaren
Speiseeis gemischt,Tiefkühlware
Wespennester,Trockensortiment & Konserven
Teegebäck,Backwaren
Trüffel-Pralinen,Süßwaren & Snacks
Sahneschokolade gefüllt,Kühlregal (Molkerei)
Eierteigwaren glutenfrei,Trockensortiment & Konserven
Kräuteressig,Gewürze & Backzutaten
Schwein Frikadelle,Fleischtheke
Rumkugeln,Süßwaren & Snacks
Alkopops,Bier & Wein
Haselnuss-Dreispitz,Trockensortiment & Konserven
Schinkenmettwurst,Fisch & Wurstwaren
Buchweizenbrot glutenfrei,Backwaren
Rostbratwurst,Fisch & Wurstwaren
Schwarzwälder Bauernwürstle,Fleischtheke
Sahne-Meerrettich,Kühlregal (Molkerei)
Baiser,Backwaren
Weizenknusperbrot,Backwaren
Nusshörnchen,Gewürze & Backzutaten
Schokoladen-Muffins,Backwaren
Rhabarberkuchen,Backwaren
Perlzwiebel gebacken,Obst & Gemüse
Puddingpulver Vanille,Gewürze & Backzutaten
Sahnewaffeln,Kühlregal (Molkerei)
Weinbrand-Kirschen,Süßwaren & Snacks
Mandelkränzchen,Backwaren
Haferflocken-Nussplätzchen,Süßwaren & Snacks
Remoulade,Gewürze & Backzutaten
Pflaumenmus,Süßwaren & Snacks
Leiterchen Rippchen Schälrippchen,Fleischtheke
Spirituose,Bier & Wein
Vollkornknusperbrot,Backwaren
Käseknusperchen salzig,Kühlregal (Molkerei)
Speisequarkzubereitung < .,Kühlregal (Molkerei)
Baguette glutenfrei,Backwaren
Cracker,Backwaren
Grießklößchen,Trockensortiment & Konserven
Weizenvollkorntoastbrot,Backwaren
Weizenbaguette,Backwaren
Gemüsemischung Erbsen-Karotten,Obst & Gemüse
Nussprinten schokoliert,Backwaren
Pfifferling getrocknet,Obst & Gemüse
Käsegebäck salzig,Kühlregal (Molkerei)
Brioches ungefüllt,Gewürze & Backzutaten
Apfelwaffeln,Backwaren
Fleischwurst fettreduziert,Fisch & Wurstwaren
Fruchtsaftschorle Weintraube,Getränke Alkoholfrei
Radler,Bier & Wein
Mousse au chocolat,Kühlregal (Molkerei)
Weißbrot glutenfrei,Backwaren
Mehlmischung eiweißarm,Gewürze & Backzutaten
Sachertortenboden,Backwaren
Zimtsterne,Backwaren
Altbierbowle,Bier & Wein
Champignon gebacken,Obst & Gemüse
Rührmasse Rührteig,Backwaren
Blätterteig gebacken,Backwaren
Biskuitboden,Backwaren
Nuss-Wasserbiskuitboden,Backwaren
Schwein Schinkenspeck,Fisch & Wurstwaren
Nusskuchen vegan,Kühlregal (Vegan & Käse)
Vollkornmürbeteig süß,Backwaren
Kaffeeersatz,Getränke Alkoholfrei
Rosenkohl gebacken,Obst & Gemüse
Bier,Bier & Wein
Eierlikör,Bier & Wein
Milchshake,Kühlregal (Molkerei)
Plunderteig,Backwaren
Waffeln glutenfrei,Backwaren
Grobe Mettwurst,Fisch & Wurstwaren
Schwein Bauchspeck,Fleischtheke
Kalter Hund,Backwaren
Kokoszwieback,Backwaren
Weizenvollkornbaguette,Backwaren
Preiselbeersaft,Trockensortiment & Konserven
Komprimate,Süßwaren & Snacks
Cremeeis Kremeis,Tiefkühlware
Hirschsalami,Fisch & Wurstwaren
Haferbrot,Backwaren
Rahmeis Sahneeis,Tiefkühlware
Cashewkern geröstet,Backwaren
Fruchtaufstrich,Süßwaren & Snacks
Honigkuchenplätzchen,Backwaren
Puddingpulver Schokolade,Gewürze & Backzutaten
Acerolasaft,Obst & Gemüse
Milchmischgetränk <,Kühlregal (Molkerei)
Apfelkorn,Bier & Wein
Scones,Backwaren
Zuckerperlen,Süßwaren & Snacks
Paniermehl Semmelbrösel Semmelmehl,Gewürze & Backzutaten
Linsenmehl,Gewürze & Backzutaten
Backerbsen,Backwaren
Biskuitrolle Biskuitroulade,Backwaren
Löffelbiskuits glutenfrei,Backwaren
Baklava,Backwaren
Wirsing gebacken,Obst & Gemüse
Butterpilz getrocknet,Obst & Gemüse
Ausbackteig gesüßt,Kühlregal (Molkerei)
Schwein Kotelett gegrillt,Fleischtheke
Baumkuchen Grillkuchen Schichtkuchen,Backwaren
Quarkstrudel,Kühlregal (Molkerei)
Nusstaler,Backwaren
Zwieback glutenfrei,Backwaren
Roggenknusperbrot,Backwaren
Trüffel getrocknet,Obst & Gemüse
Schoko-Nuss-Creme,Süßwaren & Snacks
Sardine gegrillt,Fisch & Wurstwaren
Aubergine gegrillt,Obst & Gemüse
Weizenknäckebrot,Backwaren
Schoko-Mandelbiskuitboden,Backwaren
Dicker Honigkuchen,Backwaren
Vollkorneierteigwaren,Trockensortiment & Konserven
Butterkekse Butterplätzchen schokoliert,Backwaren
Haselnussmus,Backwaren
Mehrkornflocken,Backwaren
Knusperbrot glutenfrei,Backwaren
Westfälische grobe Mettwurst,Fisch & Wurstwaren
Kasseler Kamm,Fleischtheke
Karamelleis,Tiefkühlware
Zuckermais gebacken,Obst & Gemüse
Tofu gebacken,Kühlregal (Vegan & Käse)
Fruchtsahnelikör,Kühlregal (Molkerei)
Frischteigwaren eifrei,Trockensortiment & Konserven
Teigschnitte gefüllt,Kühlregal (Molkerei)
Quarknapfkuchen,Kühlregal (Molkerei)
Dresdner Stollen,Gewürze & Backzutaten
Kapstachelbeersaft Physalissaft,Obst & Gemüse
Fruchtsaftschorle Orange,Getränke Alkoholfrei
Rind Kotelett gegrillt,Fleischtheke
Obatzter Obazda,Kühlregal (Molkerei)
Erdnussplätzchen,Backwaren
Löffelbiskuits,Backwaren
Landjäger,Fleischtheke
Salami Italienische Art,Fisch & Wurstwaren
Müslikekse glutenfrei,Süßwaren & Snacks
Walnuss geröstet,Backwaren
Haselnuss gemahlen,Backwaren
Wiener Tortenboden,Backwaren
Apfeldicksaft,Süßwaren & Snacks
Zuckerlis,Backwaren
Lachs gegrillt,Fisch & Wurstwaren
Rind Roastbeef Rohpökelware,Fleischtheke
Dinkelvollkornbaguette,Backwaren
